Time, Regions, Area
17,32,51,3187.5833333333335
17,33,83,4279.733333333334
17,34,60,219.6
17,35,78,2336.5666666666666
17,36,74,12221.9
17,37,59,3083.383333333333
17,38,78,6056.35
17,39,89,4270.566666666667
17,40,91,8251.266666666666
17,41,104,11956.916666666666
17,42,74,6530.516666666666
17,43,95,11196.416666666666
17,44,118,12270.766666666666
17,45,117,11270.266666666666
17,46,149,13880.533333333333
17,47,102,5866.616666666667
17,48,93,7411.433333333333
17,49,79,9070.5
17,50,79,6093.116666666667
17,51,111,15723.9
17,52,101,3930.0
17,53,119,14328.883333333333
17,54,74,5321.65
17,55,131,13383.95
17,56,99,7390.7
17,57,108,6770.05
17,58,175,24516.266666666666
17,59,145,30668.65
18,00,165,34988.78333333333
18,01,148,32399.433333333334
18,02,171,31139.65
18,03,148,27269.566666666666
18,04,155,26062.95
18,05,174,33704.63333333333
18,06,183,29045.616666666665
18,07,174,35307.0
18,08,131,25516.45
18,09,172,28612.166666666668
18,10,133,20629.716666666667
18,11,144,23731.65
18,12,132,20208.883333333335
18,13,158,21264.283333333333
18,14,119,25676.466666666667
18,15,131,24834.0
18,16,107,9125.766666666666
18,17,141,6519.6
18,18,156,22803.133333333335
18,19,147,17110.366666666665
18,20,91,11653.616666666667
18,21,85,5833.716666666666
18,22,76,4568.416666666667
18,23,67,567.6833333333333
18,24,50,2271.6666666666665
18,25,50,1146.5
18,26,42,1883.9
18,27,46,1650.7833333333333
18,28,25,68.61666666666666
18,29,37,734.0
18,30,46,2932.8
18,31,55,10298.833333333334
18,32,14,270.43333333333334
18,33,32,3749.8
18,34,80,3604.016666666667
18,35,96,11475.8
18,36,90,9959.5
18,37,81,12231.566666666668
18,38,90,5058.833333333333
18,39,125,9572.466666666667
18,40,139,10369.616666666667
18,41,98,8212.283333333333
18,42,112,20268.666666666668
18,43,105,12362.5
18,44,112,8875.883333333333
18,45,104,12706.316666666668
18,46,100,11793.583333333334
18,47,42,4831.083333333333
18,48,104,15232.333333333334
18,49,130,15688.116666666667
18,50,90,14570.416666666666
18,51,125,18216.6
18,52,131,20381.016666666666
18,53,136,17417.966666666667
18,54,108,9950.05
18,55,113,13346.933333333332
18,56,113,7188.016666666666
18,57,124,17721.1
18,58,141,13355.483333333334
18,59,118,19149.216666666667
19,00,126,11275.75
19,01,146,13973.916666666666
19,02,138,8989.683333333332
19,03,156,14864.983333333334
19,04,139,8359.533333333333
19,05,155,23840.183333333334
19,06,149,12238.283333333333
19,07,145,13079.15
19,08,135,15950.683333333332
19,09,123,10979.633333333333
19,10,121,8241.033333333333
19,11,117,11807.916666666666
19,12,133,13745.766666666666
19,13,127,10580.666666666666
19,14,100,10737.866666666667
19,15,69,4631.5
19,16,86,3270.0
19,17,72,6519.366666666667
19,18,74,7571.766666666666
19,19,85,8146.6
19,20,88,6002.383333333333
19,21,96,9269.35
19,22,118,10909.55
19,23,140,23935.35
19,24,114,7906.133333333333
19,25,104,21459.55
19,26,124,11524.483333333334
19,27,112,6440.866666666667
19,28,124,9338.183333333332
19,29,100,4242.416666666667
19,30,87,9995.783333333333
19,31,94,12520.816666666668
19,32,107,11396.3
19,33,71,4575.683333333333
19,34,106,14987.516666666666
19,35,94,7858.033333333334
19,36,105,4178.533333333334
19,37,99,7185.216666666666
19,38,115,7265.633333333333
19,39,108,8501.716666666667
19,40,137,17661.383333333335
19,41,86,6713.6
19,42,132,8696.95
19,43,129,9286.483333333334
19,44,132,13807.75
19,45,134,8792.95
19,46,110,11739.3
19,47,80,8569.95
19,48,139,20461.5
19,49,115,10966.733333333334
19,50,94,4929.55
19,51,102,11508.9
19,52,99,9487.5
19,53,111,15863.333333333334
19,54,95,15975.383333333333
19,55,76,2607.766666666667
19,56,66,7274.8
19,57,59,1987.0166666666667
19,58,95,10458.7
19,59,75,6404.75
20,00,28,324495.8333333333
20,01,0,0.0
20,02,0,0.0
20,03,0,0.0
20,04,0,0.0
20,05,0,0.0
20,06,0,0.0
20,07,0,0.0
20,08,0,0.0
20,09,0,0.0
20,10,0,0.0
20,11,0,0.0
20,12,0,0.0
20,13,0,0.0
20,14,0,0.0
20,15,0,0.0
20,16,0,0.0
20,17,0,0.0
20,18,0,0.0
20,19,0,0.0
20,20,0,0.0
20,21,0,0.0
20,22,0,0.0
20,23,0,0.0
20,24,0,0.0
20,25,0,0.0
20,26,0,0.0
20,27,0,0.0
20,28,0,0.0
20,29,0,0.0
20,30,0,0.0
20,31,2,0.0
20,32,3,540.35
20,33,4,0.0
20,34,0,0.0
20,35,1,0.0
20,36,0,0.0
20,37,0,0.0
20,38,0,0.0
20,39,0,0.0
20,40,0,0.0
20,41,0,0.0
20,42,0,0.0
20,43,0,0.0
20,44,0,0.0
20,45,1,0.0
20,46,5,184.08333333333334
20,47,1,134.9
20,48,0,0.0
20,49,0,0.0
20,50,0,0.0
